4074,10226
2288,140735
2288,10671
2288,93661
2288,5481
2288,51143
56603,1548
56603,1381
56603,1544
56603,339345
56603,100861540
5166,5161
5898,149371
5898,4643
5898,4893
10368,59285
10368,786
10368,784
10368,59284
10368,9495
10368,10369
10368,59283
10368,27092
6376,7852
6376,3577
6376,729230
11345,79643
11345,27243
11345,128866
11345,10871
11345,7405
11345,139341
11345,440738
11345,92421
11345,25978
11345,30849
11345,22863
5009,384
5009,95
55173,63931
55173,64983
55173,64975
55173,64432
55173,6193
55173,55052
55173,11222
55173,64976
55173,28998
55173,64928
55173,26589
55173,6182
55173,51373
55173,64968
55173,64981
55173,6205
55173,54460
55173,118487
55173,84311
55173,740
55173,107987373
55173,65080
55173,6222
55173,63875
55173,29088
55173,54948
55173,64965
55173,64949
55173,10240
55173,9553
7092,84171
7092,50509
2767,183
2767,2149
2767,54331
2767,5290
2767,1906
2767,382
2767,2769
2767,9002
2767,146
2767,186
2767,9630
2767,2781
2767,23566
2767,7852
2767,1903
5704,122706
5704,7311
5704,6222
5704,5698
5704,595
5704,5702
5704,6205
5704,134510
5704,6206
5704,6469
5704,5689
5704,4855
5704,6223
5704,5691
50508,10811
7132,6610
7132,7124
7132,4214
7132,56957
7132,356
7132,4215
7132,7311
7132,3586
7132,8517
7132,64112
7132,8772
7132,329
7132,4049
7132,8439
51052,2834
2249,4893
4804,4909
4804,7311
4804,8517
4804,55851
4804,4803
4804,6610
4804,28986
4804,54205
4804,4974
4804,8767
4804,55859
4804,5290
4804,56160
4804,8772
9423,5290
9423,136
9423,374946
9423,4690
6343,2520
6343,54331
6343,6750
26281,4893
4710,100532726
4710,4539
4710,4536
4710,4538
4710,4541
4710,4702
4710,4695
4710,4535
4710,4715
4710,4701
4710,4537
4710,4713
4710,4540
4710,51103
4710,4694
4710,9551
4710,4709
4710,7386
64431,8089
359,5568
9183,60561
23645,7043
23645,650
23645,8894
23645,4092
7022,1081
81572,5202
23409,2746
23409,2747
23409,4837
23409,292
3902,84868
1947,4893
1947,4067
1947,4690
1947,2041
1947,2697
1947,1949
1947,2049
1947,4318
1947,1398
1947,6093
1947,5290
1947,8976
1947,6237
54918,152189
1053,1050
11018,10972
1943,2041
513,267020
513,4509
513,1329
513,518
513,4713
513,245972
